Date,Location,NDVI_Mean
2010-01-01,Quetta,0.1240337594728358
2010-01-17,Quetta,0.1235111963771116
2010-02-02,Quetta,0.1226300325182588
2010-02-18,Quetta,0.13656551830397887
2010-03-06,Quetta,0.14674014722778034
2010-03-22,Quetta,0.15261754214511586
2010-04-07,Quetta,0.1516368975718219
2010-04-23,Quetta,0.14259564582004955
2010-05-09,Quetta,0.12983560919064957
2010-05-25,Quetta,0.12339517299934946
2010-06-10,Quetta,0.12079311269419371
2010-06-26,Quetta,0.12451228260663687
2010-07-12,Quetta,0.11327336268472482
2010-07-28,Quetta,0.11204544172279687
2010-08-13,Quetta,0.11876997470188247
2010-08-29,Quetta,0.11602761720303464
2010-09-14,Quetta,0.11349654159117718
2010-09-30,Quetta,0.11333113171591638
2010-10-16,Quetta,0.11757262153512026
2010-11-01,Quetta,0.11677120476746561
2010-11-17,Quetta,0.11409794628907795
2010-12-03,Quetta,0.10946942257884958
2010-12-19,Quetta,0.10592279988604267
2011-01-01,Quetta,0.10458848718575933
2011-01-17,Quetta,0.10999249980273591
2011-02-02,Quetta,0.10416219955527065
2011-02-18,Quetta,0.10427813547591797
2011-03-06,Quetta,0.11739856372444349
2011-03-22,Quetta,0.1354598023874171
2011-04-07,Quetta,0.17124466443558034
2011-04-23,Quetta,0.1798081973868598
2011-05-09,Quetta,0.17309954260594265
2011-05-25,Quetta,0.15977331052609917
2011-06-10,Quetta,0.1450836999166715
2011-06-26,Quetta,0.13727107516207795
2011-07-12,Quetta,0.13571290133958666
2011-07-28,Quetta,0.13223741284538318
2011-08-13,Quetta,0.1322600667110676
2011-08-29,Quetta,0.13863431475638213
2011-09-14,Quetta,0.14352560834285122
2011-09-30,Quetta,0.1459321348177173
2011-10-16,Quetta,0.142512595794983
2011-11-01,Quetta,0.13619711527042389
2011-11-17,Quetta,0.13419907409343645
2011-12-03,Quetta,0.13719983084126586
2011-12-19,Quetta,0.1201342135220858
2012-01-01,Quetta,0.1187607574920699
2012-01-17,Quetta,0.11244252635807377
2012-02-02,Quetta,0.10023194126218342
2012-02-18,Quetta,0.11502587410986978
2012-03-05,Quetta,0.11450712610751684
2012-03-21,Quetta,0.12773486547651286
2012-04-06,Quetta,0.14750339646552363
2012-04-22,Quetta,0.1602538647489754
2012-05-08,Quetta,0.15642664630458078
