Year,Location,Dominant_LULC_Class
2010,Swat,12.000000000000004
2011,Swat,12.000000000000005
2012,Swat,12.000000000000004
2013,Swat,12.000000000000004
2014,Swat,12.000000000000004
2015,Swat,11.999999999999947
2016,Swat,11.999999999999947
2017,Swat,11.999999999999954
2018,Swat,8.999999999999993
2019,Swat,8.999999999999993
2020,Swat,8.999999999999993
2021,Swat,8.999999999999993
2022,Swat,8.999999999999991
