Year,Location,Dominant_LULC_Class
2010,Jhang,11.999999999999998
2011,Jhang,11.999999999999996
2012,Jhang,11.999999999999998
2013,Jhang,12.0
2014,Jhang,11.999999999999998
2015,Jhang,12.0
2016,Jhang,12.0
2017,Jhang,12.000000000000002
2018,Jhang,11.999999999999998
2019,Jhang,11.999999999999998
2020,Jhang,12.0
2021,Jhang,12.0
2022,Jhang,12.0
