Date,Location,NDVI_Mean
2010-01-01,Swat,0.35843898980783917
2010-01-17,Swat,0.33243469519078916
2010-02-02,Swat,0.29769277268579325
2010-02-18,Swat,0.3693410461454937
2010-03-06,Swat,0.41061026785872706
2010-03-22,Swat,0.5337048503209709
2010-04-07,Swat,0.5218079442701716
2010-04-23,Swat,0.5440278399010201
2010-05-09,Swat,0.522036123230876
2010-05-25,Swat,0.4814532197847674
2010-06-10,Swat,0.46556111734250644
2010-06-26,Swat,0.4926749277712907
2010-07-12,Swat,0.5543645007194236
2010-07-28,Swat,0.5988425761750018
2010-08-13,Swat,0.6741471868580252
2010-08-29,Swat,0.6611278228178417
2010-09-14,Swat,0.634677102463963
2010-09-30,Swat,0.5402771821986213
2010-10-16,Swat,0.4753131973280822
2010-11-01,Swat,0.43495091461480295
2010-11-17,Swat,0.4004669077346513
2010-12-03,Swat,0.3558790047049711
2010-12-19,Swat,0.35354450779039537
2011-01-01,Swat,0.3412579133361023
2011-01-17,Swat,0.3199501163439025
2011-02-02,Swat,0.3037804348529441
2011-02-18,Swat,0.29999921358195714
2011-03-06,Swat,0.3599822390958623
2011-03-22,Swat,0.4485991482476723
2011-04-07,Swat,0.5288760665052512
2011-04-23,Swat,0.5464531064360975
2011-05-09,Swat,0.5238844907614733
2011-05-25,Swat,0.4716391516090697
2011-06-10,Swat,0.45214773774124195
2011-06-26,Swat,0.5118883473779712
2011-07-12,Swat,0.5666912575547699
2011-07-28,Swat,0.661651864414005
2011-08-13,Swat,0.5940204174792569
2011-08-29,Swat,0.6737298862923093
2011-09-14,Swat,0.639871487621403
2011-09-30,Swat,0.5597315773692493
2011-10-16,Swat,0.514973158735087
2011-11-01,Swat,0.4910145934465157
2011-11-17,Swat,0.4340529593121388
2011-12-03,Swat,0.422230100207268
2011-12-19,Swat,0.38618474749186094
2012-01-01,Swat,0.38177786943869024
2012-01-17,Swat,0.3099696861965478
2012-02-02,Swat,0.2985054937037999
2012-02-18,Swat,0.3349837849557073
2012-03-05,Swat,0.36509331159995384
2012-03-21,Swat,0.4557378253546752
2012-04-06,Swat,0.5255941002668233
2012-04-22,Swat,0.5622927744858565
2012-05-08,Swat,0.5400840429691313
2012-05-24,Swat,0.48815125715234947
2012-06-09,Swat,0.44124160006659485
2012-06-25,Swat,0.4146664945986792
2012-07-11,Swat,0.5054277617444916
2012-07-27,Swat,0.5694818547046042
2012-08-12,Swat,0.6100538111025785
2012-08-28,Swat,0.6111398639195431
2012-09-13,Swat,0.65934610935523
2012-09-29,Swat,0.5874557574456837
2012-10-15,Swat,0.5218052461930772
2012-10-31,Swat,0.4533565350598055
2012-11-16,Swat,0.41418951486265987
2012-12-02,Swat,0.3891106885654155
2012-12-18,Swat,0.362695004768019
2013-01-01,Swat,0.34630118124059167
2013-01-17,Swat,0.3510322384330882
2013-02-02,Swat,0.2858648922679944
2013-02-18,Swat,0.3495162421976625
2013-03-06,Swat,0.45334074480294684
2013-03-22,Swat,0.5192590620348252
2013-04-07,Swat,0.5470917174592097
2013-04-23,Swat,0.542072675908418
2013-05-09,Swat,0.5384733249114203
2013-05-25,Swat,0.4893985811886978
2013-06-10,Swat,0.5148601631700089
2013-06-26,Swat,0.549870871483078
2013-07-12,Swat,0.5688068635716779
2013-07-28,Swat,0.5212425598021363
2013-08-13,Swat,0.7224246151254394
2013-08-29,Swat,0.6782239851388168
2013-09-14,Swat,0.6318426719276008
2013-09-30,Swat,0.5429713289411547
2013-10-16,Swat,0.5207570498099002
2013-11-01,Swat,0.48730711008044286
2013-11-17,Swat,0.4467293658715334
2013-12-03,Swat,0.4120080470418535
2013-12-19,Swat,0.4147483274094253
2014-01-01,Swat,0.38574023847062694
2014-01-17,Swat,0.41268633419170736
2014-02-02,Swat,0.29465712674013333
2014-02-18,Swat,0.3497749075318682
2014-03-06,Swat,0.4133007014361307
2014-03-22,Swat,0.46660417685706806
2014-04-07,Swat,0.5117905765553302
2014-04-23,Swat,0.5439765044737828
2014-05-09,Swat,0.5755239482896534
2014-05-25,Swat,0.5307618145177051
2014-06-10,Swat,0.48563010900488784
2014-06-26,Swat,0.49254461589872056
2014-07-12,Swat,0.5193510712889374
2014-07-28,Swat,0.6432198163571026
2014-08-13,Swat,0.6667550420037124
2014-08-29,Swat,0.65692149288839
2014-09-14,Swat,0.6176365488111429
2014-09-30,Swat,0.5460840108543306
2014-10-16,Swat,0.544475451747516
2014-11-01,Swat,0.5058799721405095
2014-11-17,Swat,0.44808533775196824
2014-12-03,Swat,0.40332543022531664
2014-12-19,Swat,0.40136724164019827
2015-01-01,Swat,0.3840272565496379
2015-01-17,Swat,0.3698536716008558
2015-02-02,Swat,0.37711770259250216
2015-02-18,Swat,0.36527585511570254
2015-03-06,Swat,0.40898912220411643
2015-03-22,Swat,0.5044659219768199
2015-04-07,Swat,0.5502427644056007
2015-04-23,Swat,0.5884425050411166
2015-05-09,Swat,0.5787024858195835
2015-05-25,Swat,0.5285991930269067
2015-06-10,Swat,0.4942187438379257
2015-06-26,Swat,0.5218208801033044
2015-07-12,Swat,0.5837720031546673
2015-07-28,Swat,0.6340669687401496
2015-08-13,Swat,0.6988405877008214
2015-08-29,Swat,0.646981936609174
2015-09-14,Swat,0.5653961664240994
2015-09-30,Swat,0.5235121028999201
2015-10-16,Swat,0.49906574096613926
2015-11-01,Swat,0.4795652672166316
2015-11-17,Swat,0.4723884752348027
2015-12-03,Swat,0.4587380369147311
2015-12-19,Swat,0.42361729952917454
2016-01-01,Swat,0.43886438956071244
2016-01-17,Swat,0.4421307968255905
2016-02-02,Swat,0.4162516303783909
2016-02-18,Swat,0.4474488634556853
2016-03-05,Swat,0.4905836055923946
2016-03-21,Swat,0.5053160784279708
2016-04-06,Swat,0.5544219331057408
2016-04-22,Swat,0.5870945394583984
2016-05-08,Swat,0.5405452851411465
2016-05-24,Swat,0.5042781119102097
2016-06-09,Swat,0.4852580277725929
2016-06-25,Swat,0.5044076082483735
2016-07-11,Swat,0.6156430414056044
2016-07-27,Swat,0.6146554438108212
2016-08-12,Swat,0.6747089709968646
2016-08-28,Swat,0.6543659367717237
2016-09-13,Swat,0.5945227063070107
2016-09-29,Swat,0.5342584925692103
2016-10-15,Swat,0.4762029669892213
2016-10-31,Swat,0.4246787615728188
2016-11-16,Swat,0.39859178054446065
2016-12-02,Swat,0.38243144289800973
2016-12-18,Swat,0.36757024785832815
2017-01-01,Swat,0.33045899697005376
2017-01-17,Swat,0.34588534176607144
2017-02-02,Swat,0.3537636611975503
2017-02-18,Swat,0.4146692894936098
2017-03-06,Swat,0.399744877433119
2017-03-22,Swat,0.515447097220649
2017-04-07,Swat,0.5561094898047373
2017-04-23,Swat,0.5678374927258418
2017-05-09,Swat,0.5322143668354339
2017-05-25,Swat,0.4838581221837922
2017-06-10,Swat,0.46755188777021933
2017-06-26,Swat,0.5498429840013862
2017-07-12,Swat,0.6035279928605736
2017-07-28,Swat,0.6577454668619829
2017-08-13,Swat,0.6669330511386756
2017-08-29,Swat,0.6483805716118605
2017-09-14,Swat,0.6006947387358519
2017-09-30,Swat,0.5067605290577816
2017-10-16,Swat,0.4335350633241502
2017-11-01,Swat,0.37423881729179737
2017-11-17,Swat,0.4111242167129329
2017-12-03,Swat,0.38392415771513005
2017-12-19,Swat,0.3854782870667358
2018-01-01,Swat,0.38130607092545055
2018-01-17,Swat,0.3682579155427948
2018-02-02,Swat,0.3692133571524687
2018-02-18,Swat,0.4217230920396728
2018-03-06,Swat,0.48771760845747725
2018-03-22,Swat,0.5050913699960194
2018-04-07,Swat,0.5636810646174246
2018-04-23,Swat,0.5588863518811433
2018-05-09,Swat,0.566024943059358
2018-05-25,Swat,0.48138830480810946
2018-06-10,Swat,0.49114319921788163
2018-06-26,Swat,0.538491577045731
2018-07-12,Swat,0.4824871787780387
2018-07-28,Swat,0.6509202293643683
2018-08-13,Swat,0.6372336267984191
2018-08-29,Swat,0.6314323442185655
2018-09-14,Swat,0.5973869298291659
2018-09-30,Swat,0.5346464204426914
2018-10-16,Swat,0.5025589757115053
2018-11-01,Swat,0.47007192161631484
2018-11-17,Swat,0.4376561167340146
2018-12-03,Swat,0.44627972156328105
2018-12-19,Swat,0.42563285667562223
