Date,Location,precipitation_mm,soil_moisture,temp_2m,sea_level_pressure
2019-01-01,Jhang,0.05140067655600062,0.14611317543090538,285.9376016357722,101952.6461684544
2019-01-02,Jhang,0.0,0.1455297801495322,285.7851681970133,102183.32248279985
2019-01-03,Jhang,0.0,0.14401545807409008,286.31585633582625,102268.1456770955
2019-01-04,Jhang,0.15165712953421437,0.1430875755118995,287.55433744369907,101928.91442957088
2019-01-05,Jhang,0.0,0.20890794954369873,285.0074498795889,101977.5463104376
2019-01-06,Jhang,0.0,0.22234342915947494,284.48993036308127,102073.33140098877
2019-01-07,Jhang,0.0,0.2126020232891317,285.5153959083507,102154.19023591539
2019-01-08,Jhang,0.0,0.20408701263166804,285.6488575546045,101861.0926801228
2019-01-09,Jhang,0.0,0.19617045272440908,286.4797362808734,101809.71017333958
2019-01-10,Jhang,0.0,0.1911098934266458,287.2278790537208,101674.76653872727
2019-01-11,Jhang,0.0,0.18976561450226445,286.30533062514195,101939.82241591602
2019-01-12,Jhang,0.5919647684900965,0.2139895019339243,285.06016239571386,101874.32599683173
2019-01-13,Jhang,0.0,0.21569995309467413,283.89168031902443,102344.94531434323
2019-01-14,Jhang,0.012848194356698983,0.2065966033755542,284.00973312080635,102139.66249310091
2019-01-15,Jhang,1.0681591507373496,0.1984751763917524,285.8282827868926,101830.32672702355
2019-01-16,Jhang,0.2252407617988285,0.19234809347044263,285.53108557504885,101828.96020177833
2019-01-17,Jhang,0.0,0.18644117299437907,285.9999611330705,101854.43833762716
2019-01-18,Jhang,0.5952583808788267,0.18114138674387528,286.594846927284,101804.17186762694
2019-01-19,Jhang,0.5056325451858991,0.17636534308035018,286.94353492121184,101783.30917476995
2019-01-20,Jhang,2.291111286463007,0.2101378278155748,285.3968250667411,101742.5082401348
2019-01-21,Jhang,4.347972762352045,0.26685513270074446,284.2178813824352,101354.41688162518
2019-01-22,Jhang,0.0,0.2542990596724567,284.6606489114851,101474.62458342458
2019-01-23,Jhang,0.0,0.2508527592725395,283.6830015544538,102001.79725313027
