Date,Location,precipitation_mm,soil_moisture,temp_2m,sea_level_pressure
2010-01-01,Islamabad,0.0,0.18311449434581847,283.3156904334464,101663.09584958048
2010-01-02,Islamabad,0.0,0.1817457661008509,283.98513722748964,101859.48428511953
2010-01-03,Islamabad,0.0,0.1829994979020441,282.58975268753915,101966.64752093193
2010-01-04,Islamabad,0.0,0.18273600612900187,282.3055875913591,101723.25060891386
2010-01-05,Islamabad,0.0,0.181458349278355,283.5058206281231,101323.129365067
2010-01-06,Islamabad,0.0,0.18019662091230884,284.2539190584332,101532.14791207196
2010-01-07,Islamabad,0.0,0.17918183343764266,283.28960249051136,101843.2907407434
2010-01-08,Islamabad,0.0,0.17823410262576966,283.5861500385645,101766.08508061542
2010-01-09,Islamabad,0.0,0.17722320608680514,283.7637605735199,101678.91135578186
2010-01-10,Islamabad,0.0,0.17623044686549233,283.63775106760255,101736.27588203699
2010-01-11,Islamabad,0.0,0.17536634594631637,283.15347224743465,101714.7360027966
2010-01-12,Islamabad,4.789288215826718,0.17458966368389195,283.9361729908036,101631.41828866075
2010-01-13,Islamabad,0.0,0.17418873523127393,282.95595369157854,101955.69813929562
2010-01-14,Islamabad,1.0863958077434843,0.17365436968250403,282.7601792014872,102320.29506104777
2010-01-15,Islamabad,0.0,0.17303860415024344,284.3724239619624,102228.6353835092
2010-01-16,Islamabad,0.009242039022566671,0.1723976470043854,285.60277808011597,102145.12060828866
2010-01-17,Islamabad,2.212345679310116,0.1718064191467055,285.67268270164953,102150.9269928607
2010-01-18,Islamabad,0.0,0.17140036759839034,285.06695086815836,102055.00798622164
2010-01-19,Islamabad,0.015645095029331958,0.17093873791213782,285.0802092129868,101861.66862438041
2010-01-20,Islamabad,0.0,0.1703768998703853,285.8397284068261,101943.91557910049
2010-01-21,Islamabad,0.13896551877456714,0.16983352500271726,286.15779891109565,101758.9105735017
2010-01-22,Islamabad,3.436859366632593,0.17012749977627012,285.4446797862325,101723.93390406866
2010-01-23,Islamabad,0.0,0.17051219588916314,286.70364729417395,101674.59790724052
2010-01-24,Islamabad,0.0,0.1704439881907774,285.96578158508026,101586.43713479374
2010-01-25,Islamabad,0.0,0.17055429870282612,286.18842557552335,101812.53128588114
2010-01-26,Islamabad,0.002459099248195973,0.17012916476357967,287.11533348106394,101781.11129695104
2010-01-27,Islamabad,0.0,0.17084269991762768,286.4409591796867,101738.56938065571
2010-01-28,Islamabad,14.331455071340736,0.2503075513732317,285.8941167484171,101660.71918625798
2010-01-29,Islamabad,3.3177945933581143,0.39297250336536643,282.5471587297096,101960.09203907278
2010-01-30,Islamabad,0.0,0.3577468256496258,283.4447078894492,101847.87758237746
2010-01-31,Islamabad,0.0,0.3359568796543366,283.45271722789744,101610.80633377006
2010-02-01,Islamabad,0.0,0.3221033363827413,283.47987146990334,101741.14271356747
2010-02-02,Islamabad,0.0,0.30976488128639434,283.4382122071831,101740.04245522316
