Location,Mean_Elevation_m,Mean_Slope_deg
Quetta,1970.5950274269035,0.40680176530680173
Jhang,157.55297255858673,0.014603535644710064
Swat,1456.2658933580014,0.5772466063499451
Islamabad,616.6596696282246,0.5891329869679464

