Year,Location,Dominant_LULC_Class
2010,Islamabad,12.000000000000007
2011,Islamabad,12.000000000000007
2012,Islamabad,12.000000000000005
2013,Islamabad,12.000000000000005
2014,Islamabad,12.000000000000002
2015,Islamabad,12.0
2016,Islamabad,11.999999999999998
2017,Islamabad,12.0
2018,Islamabad,11.999999999999998
2019,Islamabad,11.999999999999995
2020,Islamabad,9.000000000000002
2021,Islamabad,8.999999999999998
2022,Islamabad,11.999999999999995
