Date,Location,NDVI_Mean
2019-01-01,Quetta,0.10776537038206009
2019-01-17,Quetta,0.1096375872299462
2019-02-02,Quetta,0.10676635433303208
2019-02-18,Quetta,0.10811810456660159
2019-03-06,Quetta,0.11007100199387801
2019-03-22,Quetta,0.13492734725650296
2019-04-07,Quetta,0.1649482851136636
2019-04-23,Quetta,0.1821302280281167
2019-05-09,Quetta,0.17428921745093276
2019-05-25,Quetta,0.16446304380163082
2019-06-10,Quetta,0.15313304438882042
2019-06-26,Quetta,0.14554165666778
2019-07-12,Quetta,0.1374394748865285
2019-07-28,Quetta,0.13782669633895311
2019-08-13,Quetta,0.13599397746570405
2019-08-29,Quetta,0.13444495603098336
2019-09-14,Quetta,0.13272145276881686
2019-09-30,Quetta,0.1339544801598804
2019-10-16,Quetta,0.1311419149721915
2019-11-01,Quetta,0.13366604075748273
2019-11-17,Quetta,0.13319434691487764
2019-12-03,Quetta,0.1267238350003107
2019-12-19,Quetta,0.12423504379533494
2020-01-01,Quetta,0.11217365649248487
2020-01-17,Quetta,0.1049077957761375
2020-02-02,Quetta,0.12467132552065521
2020-02-18,Quetta,0.13364080513784407
2020-03-05,Quetta,0.1491781395884733
2020-03-21,Quetta,0.17949577345481058
2020-04-06,Quetta,0.19956706889041784
2020-04-22,Quetta,0.19810749746703069
2020-05-08,Quetta,0.18251603498967817
2020-05-24,Quetta,0.1674083679873866
2020-06-09,Quetta,0.15336687883111152
2020-06-25,Quetta,0.14764965714186454
2020-07-11,Quetta,0.14157731356250455
2020-07-27,Quetta,0.13901158959131613
2020-08-12,Quetta,0.140104780207813
2020-08-28,Quetta,0.1447442893937761
2020-09-13,Quetta,0.1416891132086779
2020-09-29,Quetta,0.13842419485546953
2020-10-15,Quetta,0.13320231749175376
2020-10-31,Quetta,0.12741560701190657
2020-11-16,Quetta,0.1329269714829975
2020-12-02,Quetta,0.12957229397500028
2020-12-18,Quetta,0.12195690938525354
2021-01-01,Quetta,0.1216751077848093
2021-01-17,Quetta,0.11690369097527059
2021-02-02,Quetta,0.11605191629684734
2021-02-18,Quetta,0.11968227128080389
2021-03-06,Quetta,0.11628608485578232
2021-03-22,Quetta,0.12430854277007294
2021-04-07,Quetta,0.13408290120543856
2021-04-23,Quetta,0.13680318368831637
2021-05-09,Quetta,0.1283733012937859
2021-05-25,Quetta,0.12055943735756905
2021-06-10,Quetta,0.11943033615878816
2021-06-26,Quetta,0.11733032282322496
2021-07-12,Quetta,0.1173972576083724
2021-07-28,Quetta,0.11689121407288568
2021-08-13,Quetta,0.11757557244288579
2021-08-29,Quetta,0.11643532910435504
2021-09-14,Quetta,0.11715748357080162
2021-09-30,Quetta,0.11505919857995915
2021-10-16,Quetta,0.11286526802792797
2021-11-01,Quetta,0.1107304282384393
2021-11-17,Quetta,0.10874788753010235
2021-12-03,Quetta,0.11131709030971434
2021-12-19,Quetta,0.10815758296481333
2022-01-01,Quetta,0.1123457191543017
2022-01-17,Quetta,0.10692585952468853
2022-02-02,Quetta,0.11043755038317984
2022-02-18,Quetta,0.11612287992153271
2022-03-06,Quetta,0.13698948175158213
2022-03-22,Quetta,0.15320833200503686
2022-04-07,Quetta,0.14425350918654556
2022-04-23,Quetta,0.1350377565320587
2022-05-09,Quetta,0.1230484578485703
2022-05-25,Quetta,0.11821761829197457
2022-06-10,Quetta,0.11170232007247001
2022-06-26,Quetta,0.11243689555965106
2022-07-12,Quetta,0.12638645219787495
2022-07-28,Quetta,0.14217203749676394
2022-08-13,Quetta,0.1578486398056271
2022-08-29,Quetta,0.1721620257890704
2022-09-14,Quetta,0.17098590295973606
2022-09-30,Quetta,0.16384476068041262
2022-10-16,Quetta,0.15550148285767593
2022-11-01,Quetta,0.15322032551960993
2022-11-17,Quetta,0.1536833593904762
2022-12-03,Quetta,0.138677869247025
2022-12-19,Quetta,0.1404174931020918
2023-01-01,Quetta,0.12912151606183633
2023-01-17,Quetta,0.14703792441953784
2023-02-02,Quetta,0.12171249029845788
2023-02-18,Quetta,0.1376582879674048
2023-03-06,Quetta,0.15467868121852013
2023-03-22,Quetta,0.1601486106535038
2023-04-07,Quetta,0.17557573136193935
2023-04-23,Quetta,0.17612357057295436
2023-05-09,Quetta,0.17452701566573794
2023-05-25,Quetta,0.1545688105623969
2023-06-10,Quetta,0.14255499835865793
2023-06-26,Quetta,0.14122556293439167
2023-07-12,Quetta,0.1286062193439841
2023-07-28,Quetta,0.13501498893700498
2023-08-13,Quetta,0.1304185528072537
2023-08-29,Quetta,0.12977346984350346
2023-09-14,Quetta,0.12688488670821502
2023-09-30,Quetta,0.12548294637840768
2023-10-16,Quetta,0.12760872504908055
2023-11-01,Quetta,0.12436615328167655
2023-11-17,Quetta,0.12508439594005566
2023-12-03,Quetta,0.12450599221093775
2023-12-19,Quetta,0.11939696117585633
2024-01-01,Quetta,0.12124796025176791
2024-01-17,Quetta,0.12446888197520084
2024-02-02,Quetta,0.12399674813139507
2024-02-18,Quetta,0.12580785251756552
2024-03-05,Quetta,0.12814736408085603
2024-03-21,Quetta,0.14889247255487364
2024-04-06,Quetta,0.17233272831006882
2024-04-22,Quetta,0.1973366974384948
2024-05-08,Quetta,0.20763114368950492
2024-05-24,Quetta,0.195333834725922
2024-06-09,Quetta,0.17579672339290456
2024-06-25,Quetta,0.16200949523707175
2024-07-11,Quetta,0.15041214132067712
2024-07-27,Quetta,0.15392822211683488
2024-08-12,Quetta,0.15549023627620562
2024-08-28,Quetta,0.16098004719526957
2024-09-13,Quetta,0.16122380691036295
2024-09-29,Quetta,0.16066459235545158
2024-10-15,Quetta,0.14986978487185704
2024-10-31,Quetta,0.14521589653298764
2024-11-16,Quetta,0.13721839801927418
2024-12-02,Quetta,0.13443022395132792
2024-12-18,Quetta,0.13242791175718624
2025-01-01,Quetta,0.12379523485208536
2025-01-17,Quetta,0.12062767231225939
2025-02-02,Quetta,0.12107513243526638
2025-02-18,Quetta,0.13084816718848855
2025-03-06,Quetta,0.13353454502768852
2025-03-22,Quetta,0.15272384866545427
2025-04-07,Quetta,0.16157528702954305
2025-04-23,Quetta,0.15490761952110554
2025-05-09,Quetta,0.15044371656240033
2025-05-25,Quetta,0.12631650258511268
2025-06-10,Quetta,0.12776871034839712
2025-06-26,Quetta,0.12225080968321306
2025-07-12,Quetta,0.12346301306411708
2025-07-28,Quetta,0.12117571787154849
2025-08-13,Quetta,0.11943577119013159
2025-08-29,Quetta,0.12139093639330584
2025-09-14,Quetta,0.1217413875363039
2025-09-30,Quetta,0.12037489170229852
2025-10-16,Quetta,0.11653113757664912
2025-11-01,Quetta,0.1187496579055346
2025-11-17,Quetta,0.11320266336545792
2025-12-03,Quetta,0.10903333103175032
2025-12-19,Quetta,0.1254647039232798
2026-01-01,Quetta,0.12060517574471799
2026-01-17,Quetta,0.11631670442299492
2026-02-02,Quetta,0.12780673856510869
2026-02-18,Quetta,0.14195132399638904
